##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;エラー:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;ｧW = white text;;;;;;;;;;X
##;ｧY = orange text;;;;;;;;;;X
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;;エラー:510;X
SPY_IND_EXT_LVL1;推測ではｧY%sｧWを中心に生産していると推測されます。;They may focus their production towards %s.;;;;;;;;;X
SPY_IND_EXT_LVL2;ほぼ確実にｧY%sｧWを重点的に生産している模様です。;They probably focus their production towards %s.;;;;;;;;;X
SPY_IND_EXT_LVL3;間違いなくｧY%sｧWを重点的に生産しています。;We know they focus their production towards %s.;;;;;;;;;X
##;;;;;;;;;;;X
SPY_CONV_LVL0;おそらくｧY%dｧW個程度の輸送船団、ｧY%dｧW個程度の護衛船団を保有しているのではないかと思われます。;We guess that they have around ｧY%dｧW convoy transports and around ｧY%dｧW escorts.;;;;;;;;;X
SPY_CONV_LVL1;推測ではｧY%dｧW個程度の輸送船団、ｧY%dｧW個程度の護衛船団を保有していると推測されます。;We estimate that they have around ｧY%dｧW convoy transports and around ｧY%dｧW escorts.;;;;;;;;;X
SPY_CONV_LVL2;ほぼ間違いなくｧY%dｧW個の輸送船団、ｧY%dｧW個の護衛船団を保有している模様です。;We are almost sure that they have ｧY%dｧW convoy transports and  ｧY%dｧW escorts.;;;;;;;;;X
SPY_CONV_LVL3;間違いなくｧY%dｧW個の輸送船団、ｧY%dｧW個の護衛船団を保有しています。;We know that they have ｧY%dｧW convoy transports and ｧY%dｧW escorts.;;;;;;;;;X
##;;;;;;;;;;;X
SPY_RESOURCES_LVL0;おそらくｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%sを備蓄しているのではないかと思われます。;We guess that they have around ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s and ｧY%d%sｧW %s.;;;;;;;;;X
SPY_RESOURCES_LVL1;推測ではｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%sを備蓄していと推測されます。;We estimate that they have around ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s and ｧY%d%sｧW %s.;;;;;;;;;X
SPY_RESOURCES_LVL2;ほぼ間違いなくｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%sを備蓄している模様です。;We are almost sure that they have ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s and ｧY%d%sｧW %s.;;;;;;;;;X
SPY_RESOURCES_LVL3;間違いなくｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%s、ｧY%d%sｧWの%sを備蓄しています。;We know that they have ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s, ｧY%d%sｧW %s and ｧY%d%sｧW %s.;;;;;;;;;X
##;;;;;;;;;;;X
SPY_PRODCONVOY;商用輸送船団と護衛船団;Merchant Marine and Escorts;;;;;;;;;X
SPY_PRODPROV;プロヴィンスの施設;Province improvements;;;;;;;;;X
SPY_PRODSUP;物資生産;supply production;;;;;;;;;X
SPY_PRODUPGRADE;装備の近代化改良;Modernizing their equipment;;;;;;;;;X
SPY_PRODREINFORCE;損傷した装備の補充;Replacing lost personnel and damaged equipment;;;;;;;;;X
SPY_PRODCG;消費財;Consumer goods;;;;;;;;;X
SPY_HQ_ALL_LEVELS;(ｧY%dｧW個の司令部を含む);and ｧY%dｧW HQs.;;;;;;;;;X
SPY_SUBMARINES_AND_TRANSPORTS_ALL_LEVELS;ｧY%dｧW個の潜水隊、ｧY%dｧW個の輸送隊、;ｧY%dｧW submarines and ｧY%dｧW transports, ;;;;;;;;;X
##;;;;;;;;;;;X
SPY_MINISTER_ASSASSINATION;大臣暗殺;Assassinate Minister;;;;;;;;;X
SPY_MINISTER_ASSASSINATION_ROLL;現職大臣の暗殺を試みます。;Attempt to assassinate a minister in their government.;;;;;;;;;X
SPY_ASSASSIN_MINISTER_TITLE;大臣暗殺;Assassinate Minister;;;;;;;;;X
SPY_ASSASSIN_MINISTER_LINE0;暗殺する大臣を選んでください。;Select Minister to assassinate;;;;;;;;;X
##;;;;;;;;;;;X
SPY_COUP;クーデター;Coup Nation;;;;;;;;;X
SPY_COUP_ROLL;クーデターによる政府転覆を企てます。;Attempt to coup the government.;;;;;;;;;X
SPY_COUP_TITLE;クーデター;Coup;;;;;;;;;X
SPY_COUP_LINE0;かの国の現政府を打倒して、我が国に従う政府を樹立しようではないか。;Let us replace their government with a government more loyal to us.;;;;;;;;;X
##;;;;;;;;;;;X
SPY_CHANGE_MODE_ROLL;他国に潜伏しているスパイの活動を休眠させたり、再開させたりできます。;This will sleep or activate our spies in the other country.;;;;;;;;;X
SPY_CHANGE_MODE_TITLE;スパイの活動再開;Wake Spies;;;;;;;;;X
SPY_CHANGE_MODE_TITLE_SLEEP;スパイを休眠;Sleep Spies;;;;;;;;;X
##;;;;;;;;;;;X
SPY_COUNTER_ESPIONAGE;諜報活動費用を減らす;Decrease Intelligence funding;;;;;;;;;X
SPY_COUNTER_ESPIONAGE_ROLL;我が国の諜報員の効率と日々の費用が減少します。;Decreases the funding of our Intelligence agencies.;;;;;;;;;X
SPY_COUNTER_ESPIONAGE_TITLE;諜報活動費用を減らす;Decrease Intelligence funding;;;;;;;;;X
SPY_DEFENSE_COUNTER_ESPIONAGE_LINE0;我が国の諜報員の効率と日々の費用が減少します。;Decreases the funding of our Intelligence agencies.;;;;;;;;;X
##;;;;;;;;;;;X
SPY_INCREASE_INTELLIGENCE_FOUNDING;諜報活動費用を増やす;Increase Intelligence Funding;;;;;;;;;X
SPY_INCREASE_INTELLIGENCE_FOUNDING_ROLL;我が国の諜報員の効率と日々の費用が増加します。;Increases the efficiency and daily cost, of our intelligence agencies;;;;;;;;;X
SPY_INCREASE_INTELLIGENCE_FOUNDING_TITLE;諜報活動費用を増やす;Increase Intelligence Funding;;;;;;;;;X
SPY_INCREASE_INTELLIGENCE_FOUNDING_LINE0;我が国の諜報員の効率と日々の費用が増加します。;This will increase the efficiency and daily cost, of our intelligence agencies;;;;;;;;;X
SPY_DEFENSE_INTELLIGENCE_FOUNDING_LINE0;海外での諜報任務や敵の諜報活動から我が国を守る諜報員の活動効率を増やします。;This will increase the efficiency of our intelligence agencies ability, to protect our country from enemy intelligence operations and conduct our own intelligence operations abroad.;;;;;;;;;X
##;;;;;;;;;;;X
SPY_DISRUPT_TECHTEAM;研究妨害;Sabotage Tech team;;;;;;;;;X
SPY_DISRUPT_TECHTEAM_ROLL;現在この国の研究チームが進める研究プロジェクトのひとつを遅らせます。;Attempts to delay one of their tech teams with their current project.;;;;;;;;;X
SPY_DISRUPT_TECHTEAM_TITLE;研究妨害;Sabotage Tech team;;;;;;;;;X
##;;;;;;;;;;;X
SPY_FOUND_PARTISANS;ﾊﾟﾙﾁｻﾞﾝへの資金援助;Fund partisans;;;;;;;;;X
SPY_FOUND_PARTISANS_ROLL;敵国内の反体制派を支援すると……;Support the troublemakers in their ranks ;;;;;;;;;X
SPY_FOUND_PARTISANS_TITLE;パルチザンへの資金援助;Fund partisans;;;;;;;;;X
SPY_FOUND_PARTISANS_LINE0;資金援助するプロヴィンスを選んでください。;Please select the area in which to fund partisans.;;;;;;;;;X
##;;;;;;;;;;;X
SPY_MASSMEDIA;国際世論を操作;Global manipulation;;;;;;;;;X
SPY_MASSMEDIA_ROLL;国際世論を敵国に不利な方向へ誘導します。;Attempts to influence the world opinion against our enemies.;;;;;;;;;X
SPY_MASSMEDIA_TITLE;国際世論を操作;Global manipulation;;;;;;;;;X
SPY_MASSMEDIA_LINE0;成功すれば狙った国の好戦性が上昇します。;This action will increase the belligerence of the target country.;;;;;;;;;X
##;;;;;;;;;;;X
SPY_SABOTAGE_INDUSTRY;生産妨害;Sabotage industry;;;;;;;;;X
SPY_SABOTAGE_INDUSTRY_ROLL;生産妨害を試みます。;Attempt to delay their production;;;;;;;;;X
SPY_SABOTAGE_INDUSTRY_TITLE;生産妨害;Sabotage production;;;;;;;;;X
SPY_SABOTAGE_INDUSTRY_LINE0;敵国の工場や生産拠点で破壊活動を行います。成功すれば敵国の生産を遅らせることができます。;This may slow down your enemy's production by sabotaging factories and production centers.  ;;;;;;;;;X
##;;;;;;;;;;;X
SPY_STEAL_TECH;設計図奪取;Industrial espionage;;;;;;;;;X
SPY_STEAL_TECH_ROLL;設計図の奪取を試みます。;Attempt to steal a blueprint.;;;;;;;;;X
SPY_STEAL_TECH_TITLE;設計図奪取;Steal blueprint;;;;;;;;;X
SPY_STEAL_TECH_LINE0;成功すれば敵国が研究した技術の設計図が手に入ります。なお奪取する設計図の指定はできません。;This action may give you a random blueprint for a technology the enemy has researched.;;;;;;;;;X
SPY_STEAL_TECH_LINE1;成功すれば研究のスピードアップが図れます。;This will help speed up your research.;;;;;;;;;X
##;;;;;;;;;;;X
SPY_SMEAR_CAMPAIGN;中傷工作;Smear campaign;;;;;;;;;X
SPY_SMEAR_CAMPAIGN_ROLL;敵国内で中傷工作を開始すると……;Start a smear campaign in their country ;;;;;;;;;X
SPY_SMEAR_CAMPAIGN_TITLE;中傷工作;Smear campaign;;;;;;;;;X
SPY_SMEAR_CAMPAIGN_LINE0;成功すると、この国の国民不満度が上昇します。;This action may increase the dissent in the targeted country.;;;;;;;;;X
##;;;;;;;;;;;X
SPY_NUCLEAR_SABOTAGE;G弾破壊;Nuclear sabotage;;;;;;;;;X
SPY_NUCLEAR_SABOTAGE_ROLL;「G弾」の破壊を試みます。;Attempt to destroy a NUKE;;;;;;;;;X
SPY_NUCLEAR_SABOTAGE_TITLE;G弾破壊;Nuclear sabotage;;;;;;;;;X
SPY_NUCLEAR_SABOTAGE_LINE0;成功すればG弾を破壊できます。;This action may destroy a Nuke.;;;;;;;;;X
##;;;;;;;;;;;X
SPY_FAILUER;失敗すると;A failure could lead to;;;;;;;;;X
SPY_FAILUER_LOST_OF_SPIES;スパイを失います。;Loss of spies;;;;;;;;;X
SPY_FAILUER_DAMAGE_RELATION;対象国との関係が悪化します。;Damage relations with the country.;;;;;;;;;X
SPY_FOUND;相手国が計画を察知したため、外交関係への影響が発生しました。;They have found out about our attempt, our relations with them will be affected.;;;;;;;;;X
SPY_FOUND3;%sと%sの関係が外交問題の発生により悪化しました。;Relations between %s and %s have been damaged due to a diplomatic incident.;;;;;;;;;X
SPY_FOUND2;我が国と%sの関係が外交問題の発生により悪化しました。;Relations between %s and us has been damaged due to a diplomatic incident.;;;;;;;;;X
##;;;;;;;;;;;X
AUTOTRADECREATE;貿易開始を委任;Auto initiate trades;;;;;;;;;X
AUTOTRADEREPLY;貿易承諾/拒否を委任;Auto reply to trades;;;;;;;;;X
AUTOTRADECREATE_TOOLTIP;このチェックボックスは、新しい貿易協定の提案を自動で行うか、手動で行うかを切り替えます。;This check-box will toggle whether the AI should create new trade agreements for you;;;;;;;;;X
AUTOTRADEREPLY_TOOLTIP;このチェックボックスは、申し込まれた貿易協定に対する判断をAIに任せるか、プレイヤーが行うかを切り替えます。;This check-box will toggle whether the AI should reply to incoming trade requests for you;;;;;;;;;X
AUTOSLIDERS;生産スライダーの委任;Auto set production sliders;;;;;;;;;X
AUTOSLIDERS_TOOLTIP;これをオンにすると自国の生産スライダーの管理をAIに任せることができます。;Enabling this will let the AI set the sliders controlling your country's production;;;;;;;;;X
AUTOPRIOPROD;生産優先;Prioritize production;;;;;;;;;X
AUTOPRIOPROD_TOOLTIP;これをオンにすると改良や戦力補充より生産を優先します。;Enabling this will prioritize production over upgrades and reinforcements;;;;;;;;;X
AUTOPRIOUPGRADE;改良優先;Prioritize upgrades;;;;;;;;;X
AUTOPRIOUPGRADE_TOOLTIP;これをオンにすると生産や戦力補充より改良を優先し、国民の不満もある程度解消されます。;Enabling this will prioritize upgrades over production, reinforcements and to some extent dissent reduction;;;;;;;;;X
AUTOPRIOREINFORCE;戦力補充優先;Prioritize reinforcements;;;;;;;;;X
AUTOPRIOREINFORCE_TOOLTIP;これをオンにすると生産や改良より戦力補充を優先し、国民の不満もある程度解消されます。;Enabling this will prioritize reinforcements over production, upgrades and to some extent dissent reduction;;;;;;;;;X
AUTO_PROD_BUTTON;委任ウィンドウ;Auto control window;;;;;;;;;X
AUTOPRIODISABLED;この設定を使うにはスライダーの管理を委任する必要があります。;You must enable automatic slider management to use these settings.;;;;;;;;;X
AUTOWINDOWTITLE;生産スライダーと貿易を委任する;Automate production sliders and trade;;;;;;;;;X
##;;;;;;;;;;;X
# Auto-trade messages;;;;;;;;;;;X
##;;;;;;;;;;;X
AUTO_TRADE_OPTIONS;貿易委任のオプション;Auto Trade Options;;;;;;;;;X
AUTO_TRADE_POLICIES;貿易方針;Trade Policies;;;;;;;;;X
AUTO_TRADE_CANCEL_TEXT;貿易キャンセルを委任;Auto cancel trades;;;;;;;;;X
AUTO_TRADE_CANCEL_TOOLTIP;このチェックボックスは、不利な貿易協定の破棄をAIに任せるかを切り替えます。;This checkbox will toggle whether the AI should cancel existing trade deals that are no longer profitable;;;;;;;;;X
AUTO_TRADE_HELP_ALLIES_TEXT;同盟国への無償支援を委任;Auto help allies;;;;;;;;;X
AUTO_TRADE_HELP_ALLIES_TOOLTIP;このチェックボックスは、同盟国と属国と宗主国への資源の無償提供をAIに任せるかを切り替えます。;This checkbox will toggle whether the AI should send resources for free to allies and puppets or masters;;;;;;;;;X
AUTO_TRADE_GIVE_BP_TEXT;同盟国への設計図無償提供を委任;Auto give Blue Prints to allies;;;;;;;;;X
AUTO_TRADE_GIVE_BP_TOOLTIP;このチェックボックスは、同盟国と属国と宗主国への設計図の無償提供をAIに任せるかを切り替えます。（ただし、相手国によっては、一部の設計図は提供されません。）;This checkbox will toggle whether the AI should give Blue Prints for free to allies and puppets or masters;;;;;;;;;X
AUTO_TRADE_SINGLE_OFFERS_TEXT;外交協定への返答を委任;Auto reply to single offers;;;;;;;;;X
AUTO_TRADE_SINGLE_OFFERS_TOOLTIP;このチェックボックスは、他国から申し込まれた外交協定に対する返答をAIに任せるか、プレイヤーが行うかを切り替えます。;This checkbox will toggle whether the AI should auto-reply to one-shot deal offers;;;;;;;;;X
AUTO_TRADE_ACCEPT_THRESHOLD_TEXT;貿易協定を承諾する最小値：;Accept deals min threshold: ;;;;;;;;;X
AUTO_TRADE_ACCEPT_THRESHOLD_TOOLTIP;相手国との貿易効率が、このスライダーの設定値以下では、貿易協定の自動承諾を一切しません。;Do not auto-accept deals with values less than the set by this slider;;;;;;;;;X
AUTO_TRADE_STOCKPILE;備蓄;Stockpile;;;;;;;;;X
AUTO_TRADE_EXPORT;輸出;Export;;;;;;;;;X
AUTO_TRADE_IMPORT;輸入;Import;;;;;;;;;X
AUTO_TRADE_RESET_BUTTON;リセット;Reset;;;;;;;;;X
AUTO_TRADE_RESET_BUTTON_TOOLTIP_SHORT;貿易方針をリセットし、デフォルトに戻します。;Reset trade policies to default ;;;;;;;;;X
AUTO_TRADE_RESET_BUTTON_TOOLTIP_FULL;全ての資源の輸出入を許可し、資源の備蓄を無効にします。;Enable Export and Import and disable Stockpile for all resources. ;;;;;;;;;X
AUTO_TRADE_STOCKPILE_TOOLTIP;備蓄する資源です。必要があれば設定レートに従い輸入します。;Import this resource at increased rate and stockpile;;;;;;;;;X
AUTO_TRADE_EXPORT_TOOLTIP;備蓄がある場合、この資源の輸出を許可します。;Export this resource when in surplus;;;;;;;;;X
AUTO_TRADE_IMPORT_TOOLTIP;必要な場合、この資源の輸入を許可します。;Import this resource when needed;;;;;;;;;X
AUTO_POLICY_SLIDER_UP_TOOLTIP;スライダー移動可能な場合%sの方向に移動させるように設定します。;Set this slider to move toward %s whenever a new slider move is allowed.;;;;;;;;;X
AUTO_POLICY_SLIDER_DOWN_TOOLTIP;スライダー移動可能な場合%sの方向に移動します。;This slider will move toward %s whenever a new slider move is allowed.;;;;;;;;;X
POLICY_SLIDER_REMINDER_TEXT;ｽﾗｲﾀﾞｰ移動が可能な場合通知する;Remind me when policy can be changed;;;;;;;;;X
POLICY_SLIDER_REMINDER_TOOLTIP;政策ｽﾗｲﾀﾞｰ移動可能ﾘﾏｲﾝﾀﾞｰのON/OFF;Toggle policy reminder On and Off;;;;;;;;;X
AUTO_ENERGY_TO_OIL_CONVERSION_TOOLTIP;エネルギーが十分にある場合、エネルギーから石油に変換します。;Enabling this will allow Energy to Oil conversion as long as there is enough Energy.;;;;;;;;;X
AUTOPRIOCG_TOOLTIP;物資より消費財生産を優先させます。;Enabling this will prioritize Consumer Goods over Supplies.;;;;;;;;;X
AUTOPRIOSUPPLY_TOOLTIP;消費財より物資生産を優先さます。;Enabling this will prioritize Supplies over Consumer Goods.;;;;;;;;;X
AUTOSLIDERENABLE_TOOLTIP;%sのIC配分をAIに委任します;Enabling this will allow AI to allocate IC to %s.;;;;;;;;;X
##;;;;;;;;;;;X
# Auto-spying messages;;;;;;;;;;;X
##;;;;;;;;;;;X
AUTO_SPY_FUNDING;使用する資金の上限;Use money above this;;;;;;;;;X
AUTO_SPY_ACTIVITY;諜報員の活動度;Spy activity;;;;;;;;;X
AUTO_SPY_MIN_LEVEL;最小諜報レベル;Min. spy level;;;;;;;;;X
AUTO_SPY_MAX_LEVEL;最大諜報レベル;Max. spy level;;;;;;;;;X
AUTO_SPY_SETTINGS_TEXT;諜報委任の設定;Auto-spy Settings;;;;;;;;;X
AUTO_SPY_MIN_CHANCES_TEXT;任務を実行するための最小確率;Minimal mission chances threshold;;;;;;;;;X
AUTO_SPY_DEFAULT_TEXT;国家のデフォルト諜報設定;Default spy settings for a country;;;;;;;;;X
AUTO_SPY_COUNTRY_PRIO;優先度設定;Priority;;;;;;;;;X
AUTO_SPY_APPLY_BUTTON;変更内容を保存;Apply Changes;;;;;;;;;X
AUTO_SPY_EDIT_DEF_BUTTON;デフォルト設定を編集;Edit Default Settings;;;;;;;;;X
AUTO_SPY_APPLY_TO_ALL_BUTTON;全てにデフォルトを適用;Apply Defaults to All;;;;;;;;;X
AUTO_SPY_REMOVE_ALL_BUTTON;全国家をリストから削除;Remove All Countries;;;;;;;;;X
AUTO_SPY_ADD_COUNTRY_BUTTON;国家リストに追加;Add Country;;;;;;;;;X
AUTO_SPY_REMOVE_COUNTRY_BUTTON;国家リストから削除;Remove Country;;;;;;;;;X
AUTO_SPY_SET_TO_DEF_BUTTON;デフォルト設定で上書き;Reset to Defaults;;;;;;;;;X
AUTO_SPY_EDIT_BUTTON;個別国家の設定編集;Edit Settings;;;;;;;;;X
AUTO_SPY_INFO_BUTTON;情報を見る;Show Info;;;;;;;;;X
AUTO_SPY_ENABLE_CHECKBOX;諜報委任をオン;Enable Auto-spying;;;;;;;;;X
AUTO_SPY_APPLY_CHECKBOX;任意のボタン変更を許可;Apply changes on any button;;;;;;;;;X
AUTO_SPY_EDIT_CHECKBOX;編集画面をデフォルトにする;Edit by default;;;;;;;;;X
AUTO_SPY_FUNDING_TOOLTIP;諜報活動に使用する資金の上限を設定します。;Allow using of all money above this value for spying.;;;;;;;;;X
AUTO_SPY_ACTIVITY_TOOLTIP;この設定値は、新しい諜報任務の頻度を決定します。;This value determines how often new spy missions should be set.;;;;;;;;;X
AUTO_SPY_MIN_LEVEL_TOOLTIP;この諜報レベル以下では海外の諜報活動は行いません。;Disables any abroad spy missions until this spy level is reached. ;;;;;;;;;X
AUTO_SPY_MAX_LEVEL_TOOLTIP;この諜報レベルに到達するまで随時、諜報レベルを増やします。;Increase spy levels whenever it is possible until reach this spy level. ;;;;;;;;;X
AUTO_SPY_COUNTRY_PRIO_TOOLTIP;国家の優先度;Country priority.;;;;;;;;;X
AUTO_SPY_APPLY_BUTTON_TOOLTIP;現在の変更内容を保存します。;Apply changes.;;;;;;;;;X
AUTO_SPY_EDIT_DEF_BUTTON_TOOLTIP;全ての国家に適用される諜報任務に関するデフォルト国家設定の編集をします。\n対象国リストに国家を追加した際、自動的に適用される諜報設定です。;Edit default country settings. These are used for all new countries.;;;;;;;;;X
AUTO_SPY_APPLY_TO_ALL_BUTTON_TOOLTIP;対象国リストにある全ての国家に現在のデフォルト国家設定で上書きします。\n設定を上書きすると元に戻すことはせません。\n設定を編集中の場合、以前のデフォルト設定に戻ります。;Apply current default country settings to all countries in the Targets list.;;;;;;;;;X
AUTO_SPY_REMOVE_ALL_BUTTON_TOOLTIP;全ての国家を対象国リストから削除します。;Remove all countries from Targets list.;;;;;;;;;X
AUTO_SPY_ADD_COUNTRY_BUTTON_TOOLTIP;対象国リストに追加します。;Add this country to Targets list.;;;;;;;;;X
AUTO_SPY_REMOVE_COUNTRY_BUTTON_TOOLTIP;この国家を諜報対象国家リストから削除します。;Remove this country from Targets list.;;;;;;;;;X
AUTO_SPY_SET_TO_DEF_BUTTON_TOOLTIP;現在編集中の設定をリセットし、デフォルト国家設定で上書きします。\n設定を編集中の場合、以前のデフォルト設定に戻ります。;Reset current country settings to default settings. ;;;;;;;;;X
AUTO_SPY_EDIT_BUTTON_TOOLTIP;現在の国家の設定を編集;Edit country settings.;;;;;;;;;X
AUTO_SPY_INFO_BUTTON_TOOLTIP;国家の情報を見る;Show country information.;;;;;;;;;X
AUTO_SPY_ENABLE_CHECKBOX_TOOLTIP;諜報委任をON/OFFします。;Toggle Auto-spying On and Off.;;;;;;;;;X
AUTO_SPY_APPLY_CHECKBOX_TOOLTIP;この設定をオンにすると、諜報任務を諜報委任AIに全委任します。\n諜報任務はあらかじめ設定した諜報スライダーの設定に従い、諜報AIが自動で行います。;Apply changes automatically on any button press.;;;;;;;;;X
AUTO_SPY_EDIT_CHECKBOX_TOOLTIP;この設定をオンにすると、対象国リストの国家を選択した際、自動的に諜報編集画面が開かれます。;Open countries from Target list in Edit state by default.;;;;;;;;;X
AUTO_SPY_MISSION_SLIDER_TOOLTIP;%s任務の優先度;%s mission priority.;;;;;;;;;X
AUTO_SPY_SLIDER_MIN_CHANCES_TOOLTIP;%s任務の最小確率のしきい値です。;%s mission minimal chances threshold.;;;;;;;;;X
AUTO_SPY_ACTIVITY_TOOLTIP_2;100 - 毎日任務を試みる\n50 - 2日ごとに任務を試みる (平均値)\n0 - 一切行わない;100 - try a mission every day\n50 - try a mission every second day (on average)\n0 - never;;;;;;;;;X
AUTO_SPY_MISSION_SLIDER_TOOLTIP_2;この値が高ければ、選択された任務の実行頻度が高くなります。;Higher this value is, more often this mission would be chosen among all other missions.;;;;;;;;;X
AUTO_SPY_SLIDER_MIN_CHANCES_TOOLTIP_2;この値以下の成功確率では任務を一切実行しません。;Never do this mission if chance of success is less than this value.;;;;;;;;;X
AUTO_SPY_COUNTRY_PRIO_TOOLTIP_2;この値が高ければ、対象国リストにある国家を標的にする頻度が高くなります。;Higher this values is, more often that country would be targeted among all other countries in Targets list.;;;;;;;;;X
##;;;;;;;;;;;X
HIST_WINNING;勝利;winning;;;;;;;;;X
HIST_LOSING;敗北;losing;;;;;;;;;X
HIST_DIVISION;師団規模;division sized;;;;;;;;;X
HIST_CORPS;軍団規模;corps sized;;;;;;;;;X
HIST_ARMY;軍規模;army sized;;;;;;;;;X
HIST_ARMYG;軍集団規模;army group sized;;;;;;;;;X
HIST_FLOTTILA;小戦隊;small flotillas;;;;;;;;;X
HIST_SMALLFLEET;小艦隊;small fleets;;;;;;;;;X
HIST_LARGEFLEET;大艦隊;large fleets;;;;;;;;;X
HIST_LEAD;指揮;Led;;;;;;;;;X
